Date,Close,Open,High,Low,Volume,Change_Pct
2023-02-13,9.6232,9.4963,9.6713,9.4488,841110.0,1.34
2023-02-14,9.5732,9.6232,9.6713,9.5253,939368.0,-0.52
2023-02-15,9.6384,9.5732,9.6866,9.5253,1971823.0,0.68
2023-02-16,9.8067,9.6384,9.8557,9.5902,1859028.0,1.75
2023-02-17,9.6386,9.8067,9.8557,9.5904,1831645.0,-1.71
2023-02-20,9.5118,9.6386,9.6868,9.4642,1013405.0,-1.32
2023-02-21,9.3837,9.5118,9.5594,9.3368,1295775.0,-1.35
2023-02-22,9.2974,9.3837,9.4306,9.2509,1842176.0,-0.92
2023-02-23,9.3674,9.2974,9.4142,9.2509,960566.0,0.75
2023-02-24,9.4366,9.3674,9.4838,9.3206,617310.0,0.74
2023-02-27,9.3343,9.4366,9.4838,9.2876,567319.0,-1.08
2023-02-28,9.4482,9.3343,9.4954,9.2876,1341303.0,1.22
2023-03-01,9.3604,9.4482,9.4954,9.3136,942463.0,-0.93
2023-03-02,9.5151,9.3604,9.5627,9.3136,1689462.0,1.65
2023-03-03,9.6583,9.5151,9.7066,9.4675,1159927.0,1.5
2023-03-06,9.5473,9.6583,9.7066,9.4996,1546963.0,-1.15
2023-03-07,9.5074,9.5473,9.595,9.4599,1848158.0,-0.42
2023-03-08,9.4918,9.5074,9.5549,9.4443,1055493.0,-0.16
2023-03-09,9.355,9.4918,9.5393,9.3082,1677274.0,-1.44
2023-03-10,9.3696,9.355,9.4164,9.3082,1725965.0,0.16
2023-03-13,9.3428,9.3696,9.4164,9.2961,1723757.0,-0.29
2023-03-14,9.3052,9.3428,9.3895,9.2587,959948.0,-0.4
2023-03-15,9.4903,9.3052,9.5378,9.2587,790102.0,1.99
2023-03-16,9.4939,9.4903,9.5414,9.4428,690650.0,0.04
2023-03-17,9.591,9.4939,9.639,9.4464,729950.0,1.02
2023-03-20,9.4578,9.591,9.639,9.4105,835506.0,-1.39
2023-03-21,9.5683,9.4578,9.6161,9.4105,1385333.0,1.17
2023-03-22,9.6052,9.5683,9.6532,9.5205,1306915.0,0.39
2023-03-23,9.5597,9.6052,9.6532,9.5119,1481571.0,-0.47
2023-03-24,9.5708,9.5597,9.6187,9.5119,1660198.0,0.12
2023-03-27,9.7089,9.5708,9.7574,9.5229,524077.0,1.44
2023-03-28,9.7789,9.7089,9.8278,9.6604,740232.0,0.72
2023-03-29,9.85,9.7789,9.8992,9.73,1626108.0,0.73
2023-03-30,9.9488,9.85,9.9985,9.8007,1844194.0,1.0
2023-03-31,9.8852,9.9488,9.9985,9.8358,1115514.0,-0.64
2023-04-03,9.8594,9.8852,9.9346,9.8101,1451527.0,-0.26
2023-04-04,9.6635,9.8594,9.9087,9.6152,1052366.0,-1.99
2023-04-05,9.8459,9.6635,9.8951,9.6152,874660.0,1.89
2023-04-06,9.8489,9.8459,9.8981,9.7967,723159.0,0.03
2023-04-07,9.9949,9.8489,10.0449,9.7997,1125884.0,1.48
2023-04-10,10.1315,9.9949,10.1822,9.9449,1564646.0,1.37
2023-04-11,10.1757,10.1315,10.2266,10.0808,820527.0,0.44
2023-04-12,10.1244,10.1757,10.2266,10.0738,838792.0,-0.5
2023-04-13,10.1403,10.1244,10.191,10.0738,1612232.0,0.16
2023-04-14,10.31,10.1403,10.3615,10.0896,1756077.0,1.67
2023-04-17,10.2375,10.31,10.3615,10.1863,540845.0,-0.7
2023-04-18,10.0786,10.2375,10.2887,10.0282,1261225.0,-1.55
2023-04-19,10.2313,10.0786,10.2825,10.0282,1144903.0,1.52
2023-04-20,10.1247,10.2313,10.2825,10.0741,1005144.0,-1.04
2023-04-21,10.2778,10.1247,10.3292,10.0741,665165.0,1.51
2023-04-24,10.1075,10.2778,10.3292,10.057,1519195.0,-1.66
2023-04-25,10.2353,10.1075,10.2865,10.057,1617165.0,1.26
2023-04-26,10.3441,10.2353,10.3958,10.1841,769256.0,1.06
2023-04-27,10.4102,10.3441,10.4623,10.2924,1653021.0,0.64
2023-04-28,10.2708,10.4102,10.4623,10.2194,1606612.0,-1.34
2023-05-01,10.4238,10.2708,10.4759,10.2194,1387384.0,1.49
2023-05-02,10.6174,10.4238,10.6705,10.3717,1630985.0,1.86
2023-05-03,10.7258,10.6174,10.7794,10.5643,1946757.0,1.02
2023-05-04,10.5976,10.7258,10.7794,10.5446,1153716.0,-1.2
2023-05-05,10.5548,10.5976,10.6506,10.502,1908629.0,-0.4
2023-05-08,10.6181,10.5548,10.6712,10.502,1418762.0,0.6
2023-05-09,10.7878,10.6181,10.8417,10.565,1446835.0,1.6
2023-05-10,10.6243,10.7878,10.8417,10.5712,971224.0,-1.52
2023-05-11,10.439,10.6243,10.6774,10.3868,544112.0,-1.74
2023-05-12,10.4759,10.439,10.5283,10.3868,982585.0,0.35
2023-05-15,10.513,10.4759,10.5656,10.4235,515080.0,0.35
2023-05-16,10.3326,10.513,10.5656,10.2809,1823518.0,-1.72
2023-05-17,10.1503,10.3326,10.3843,10.0995,641348.0,-1.76
2023-05-18,10.3149,10.1503,10.3665,10.0995,1192958.0,1.62
2023-05-19,10.1378,10.3149,10.3665,10.0871,999131.0,-1.72
2023-05-22,10.048,10.1378,10.1885,9.9978,1517987.0,-0.89
2023-05-23,9.9331,10.048,10.0982,9.8834,777478.0,-1.14
2023-05-24,10.0218,9.9331,10.0719,9.8834,1697564.0,0.89
2023-05-25,10.0524,10.0218,10.1027,9.9717,1009602.0,0.31
2023-05-26,10.1668,10.0524,10.2176,10.0021,1353666.0,1.14
2023-05-29,10.0409,10.1668,10.2176,9.9907,703278.0,-1.24
2023-05-30,10.1048,10.0409,10.1553,9.9907,1243015.0,0.64
2023-05-31,10.0739,10.1048,10.1553,10.0235,1479421.0,-0.31
2023-06-01,10.2205,10.0739,10.2716,10.0235,613605.0,1.46
2023-06-02,10.2914,10.2205,10.3429,10.1694,1855137.0,0.69
2023-06-05,10.1261,10.2914,10.3429,10.0755,1344358.0,-1.61
2023-06-06,10.2185,10.1261,10.2696,10.0755,729153.0,0.91
2023-06-07,10.1158,10.2185,10.2696,10.0652,898896.0,-1.01
2023-06-08,10.1305,10.1158,10.1812,10.0652,793983.0,0.15
2023-06-09,10.0988,10.1305,10.1812,10.0483,1084151.0,-0.31
2023-06-12,10.0837,10.0988,10.1493,10.0333,658093.0,-0.15
2023-06-13,10.0608,10.0837,10.1341,10.0105,1654115.0,-0.23
2023-06-14,9.899,10.0608,10.1111,9.8495,1867646.0,-1.61
2023-06-15,10.0967,9.899,10.1472,9.8495,530949.0,2.0
2023-06-16,10.2861,10.0967,10.3375,10.0462,995723.0,1.88
2023-06-19,10.1488,10.2861,10.3375,10.0981,1518463.0,-1.33
2023-06-20,10.1412,10.1488,10.1995,10.0905,1341042.0,-0.07
2023-06-21,10.3045,10.1412,10.356,10.0905,845269.0,1.61
2023-06-22,10.2546,10.3045,10.356,10.2033,1318773.0,-0.48
2023-06-23,10.1583,10.2546,10.3059,10.1075,1454221.0,-0.94
2023-06-26,10.071,10.1583,10.2091,10.0206,1960858.0,-0.86
2023-06-27,10.2552,10.071,10.3065,10.0206,1665530.0,1.83
2023-06-28,10.3216,10.2552,10.3732,10.2039,1520623.0,0.65
2023-06-29,10.1791,10.3216,10.3732,10.1282,1122241.0,-1.38
2023-06-30,10.0642,10.1791,10.23,10.0139,622648.0,-1.13
2023-07-03,10.0961,10.0642,10.1466,10.0139,1637065.0,0.32
2023-07-04,9.9188,10.0961,10.1466,9.8692,1157676.0,-1.76
2023-07-05,9.7431,9.9188,9.9684,9.6944,1725109.0,-1.77
2023-07-06,9.7341,9.7431,9.7918,9.6854,1613852.0,-0.09
2023-07-07,9.6007,9.7341,9.7828,9.5527,1564993.0,-1.37
2023-07-10,9.4395,9.6007,9.6487,9.3923,889703.0,-1.68
2023-07-11,9.2766,9.4395,9.4867,9.2302,642524.0,-1.73
2023-07-12,9.3416,9.2766,9.3883,9.2302,993258.0,0.7
2023-07-13,9.3056,9.3416,9.3883,9.2591,1694695.0,-0.39
2023-07-14,9.2111,9.3056,9.3521,9.165,1746797.0,-1.02
2023-07-17,9.0415,9.2111,9.2572,8.9963,671931.0,-1.84
2023-07-18,9.0123,9.0415,9.0867,8.9672,1724049.0,-0.32
2023-07-19,9.0358,9.0123,9.081,8.9672,1163475.0,0.26
2023-07-20,9.1929,9.0358,9.2389,8.9906,928362.0,1.74
2023-07-21,9.2553,9.1929,9.3016,9.1469,1158891.0,0.68
2023-07-24,9.1586,9.2553,9.3016,9.1128,1330023.0,-1.04
2023-07-25,9.0234,9.1586,9.2044,8.9783,1853713.0,-1.48
2023-07-26,8.9512,9.0234,9.0685,8.9064,1163071.0,-0.8
2023-07-27,9.1048,8.9512,9.1503,8.9064,652133.0,1.72
2023-07-28,8.9261,9.1048,9.1503,8.8815,1802665.0,-1.96
